Gene,eLife_2024,NatComm_2025_Xu,NatComm_2025_Wu,J_Obes_2025,Notes
AAR2,FALSE,TRUE,FALSE,FALSE,
AC022431.2,FALSE,TRUE,TRUE,FALSE,
AC073063.1,FALSE,TRUE,FALSE,FALSE,
ACAD10,FALSE,TRUE,FALSE,FALSE,
ACAD11,FALSE,TRUE,FALSE,TRUE,Ahmed et al report as NPHP3/NPHP3-ACAD11 in Supplementary Figure 4. Here we report this as NPHP3 and ACAD11 (two separate genes) for consistency with Xu et al
ACKR4,FALSE,TRUE,FALSE,FALSE,
ACTL10,FALSE,TRUE,FALSE,FALSE,
AKAP11,FALSE,TRUE,FALSE,TRUE,
AL009178.1,FALSE,TRUE,FALSE,FALSE,
AL158147.2,FALSE,TRUE,FALSE,FALSE,
AL355390.1,TRUE,FALSE,FALSE,FALSE,
ALDH2,FALSE,TRUE,FALSE,FALSE,
ANGPT1,TRUE,FALSE,FALSE,TRUE,
ANO7,TRUE,FALSE,FALSE,FALSE,
AOX1,FALSE,TRUE,FALSE,FALSE,
AP001925.1,FALSE,TRUE,FALSE,FALSE,
ARHGEF2,FALSE,TRUE,FALSE,FALSE,
ARHGEF3,FALSE,TRUE,FALSE,FALSE,
ASH1L,FALSE,TRUE,FALSE,FALSE,
ATM,FALSE,TRUE,FALSE,FALSE,
ATP5C1P1,FALSE,FALSE,TRUE,FALSE,
ATP5J2,FALSE,TRUE,FALSE,FALSE,
ATP5J2-PTCD1,FALSE,TRUE,FALSE,FALSE,
ATXN2,FALSE,TRUE,TRUE,TRUE,
BAZ1A,FALSE,TRUE,FALSE,FALSE,
BAZ1B,FALSE,TRUE,FALSE,FALSE,
BCL7B,FALSE,TRUE,FALSE,FALSE,
BIN3,TRUE,FALSE,FALSE,FALSE,
BLK,TRUE,FALSE,FALSE,FALSE,
BMF,FALSE,TRUE,TRUE,FALSE,
BMP4,TRUE,FALSE,FALSE,FALSE,
BMP6,FALSE,TRUE,FALSE,FALSE,
BRAP,FALSE,TRUE,FALSE,FALSE,
BUB1B,FALSE,TRUE,FALSE,FALSE,
BUD31,FALSE,TRUE,FALSE,FALSE,
C11orf49,TRUE,FALSE,FALSE,FALSE,
C11orf65,FALSE,TRUE,FALSE,FALSE,
C20orf144,FALSE,TRUE,FALSE,FALSE,
C20orf173,FALSE,TRUE,FALSE,FALSE,
C2orf47,FALSE,TRUE,FALSE,FALSE,
C2orf69,FALSE,TRUE,FALSE,FALSE,
C3orf83,FALSE,TRUE,TRUE,FALSE,Supp table 8 of Wu et al shows this as part of TSEN2:C3orf83 locus.
C4orf27,FALSE,TRUE,FALSE,FALSE,
C6orf123,FALSE,TRUE,FALSE,FALSE,
C6orf211,FALSE,TRUE,FALSE,FALSE,
C7orf76,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as SHFM1:C7orf76 in Supp Table 8. Here, we use C7or76 and SHFM1 separately to be consistent with Xu et al"
CAND2,FALSE,TRUE,FALSE,FALSE,
CBFA2T2,FALSE,TRUE,FALSE,FALSE,
CCBE1,FALSE,TRUE,TRUE,FALSE,
CCDC170,TRUE,TRUE,TRUE,TRUE,
CCDC91,TRUE,TRUE,TRUE,TRUE,
CCND1,TRUE,FALSE,FALSE,FALSE,
CCND2,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as CCND2-AS1:CCND2 in Supp Table 8. Here, we use CCND2 only to be consistent with Xu et al"
CD109,TRUE,FALSE,FALSE,FALSE,
CDK5RAP1,FALSE,TRUE,FALSE,FALSE,
CDKL1,FALSE,TRUE,FALSE,FALSE,
CDKN3,FALSE,FALSE,TRUE,FALSE,
CENPW,TRUE,FALSE,FALSE,FALSE,
CEP250,FALSE,TRUE,FALSE,FALSE,
CHD7,FALSE,TRUE,TRUE,FALSE,
CKM,FALSE,TRUE,FALSE,FALSE,
CLK2,FALSE,TRUE,FALSE,FALSE,
COL4A2,FALSE,TRUE,FALSE,FALSE,
COLEC10,TRUE,TRUE,FALSE,FALSE,
CPED1,FALSE,TRUE,FALSE,FALSE,
CPSF4,FALSE,TRUE,FALSE,FALSE,
CSF3,FALSE,TRUE,FALSE,FALSE,
CSF3R,FALSE,TRUE,FALSE,FALSE,
CSRNP3,TRUE,FALSE,FALSE,FALSE,
CTC-236F12.4,TRUE,FALSE,FALSE,FALSE,
CTIF,FALSE,TRUE,TRUE,FALSE,
CUX2,FALSE,TRUE,FALSE,FALSE,
CYP19A1,TRUE,FALSE,TRUE,TRUE,"Wu et al report this as RP11-108K3.1:CYP19A1 in Supp Table 8. Here, we use CYP19A1 only to be consistent with other studies"
CYP3A5,FALSE,TRUE,FALSE,FALSE,
CYP3A7,TRUE,TRUE,FALSE,TRUE,
DAP3,FALSE,TRUE,FALSE,FALSE,
DDN,TRUE,FALSE,FALSE,FALSE,
DGKH,FALSE,TRUE,TRUE,FALSE,
DNAJB8,FALSE,TRUE,FALSE,FALSE,
DNAJC13,FALSE,TRUE,FALSE,FALSE,
DUSP16,FALSE,TRUE,TRUE,FALSE,
DYSF,TRUE,FALSE,FALSE,FALSE,
E2F1,FALSE,TRUE,FALSE,FALSE,
ECE1,FALSE,TRUE,FALSE,FALSE,
EDEM2,FALSE,TRUE,FALSE,FALSE,
EEFSEC,FALSE,TRUE,FALSE,FALSE,
EHD4,FALSE,TRUE,TRUE,FALSE,
EIF4G3,FALSE,TRUE,FALSE,FALSE,
EIF6,FALSE,TRUE,FALSE,FALSE,
EPB41L1,FALSE,TRUE,FALSE,FALSE,
ERGIC3,FALSE,TRUE,FALSE,FALSE,
ERP29,FALSE,TRUE,FALSE,FALSE,
ESR1,FALSE,TRUE,TRUE,FALSE,
ETS1,TRUE,FALSE,FALSE,FALSE,
EXOC3L2,FALSE,TRUE,FALSE,FALSE,
EXPH5,FALSE,TRUE,FALSE,FALSE,
FABP3P2,FALSE,FALSE,TRUE,FALSE,
FAM109A,FALSE,TRUE,FALSE,FALSE,
FAM177A1,FALSE,TRUE,FALSE,FALSE,
FAM189B,FALSE,TRUE,FALSE,FALSE,
FAM200A,FALSE,TRUE,FALSE,FALSE,
FAM216B,FALSE,TRUE,FALSE,FALSE,
FAM3C,FALSE,TRUE,FALSE,FALSE,
FAM83C,FALSE,TRUE,FALSE,FALSE,
FDPS,FALSE,TRUE,FALSE,FALSE,
FGFRL1,TRUE,FALSE,FALSE,FALSE,
FLT3,FALSE,TRUE,TRUE,TRUE,
FMN2,FALSE,TRUE,FALSE,TRUE,
FSD2,FALSE,TRUE,FALSE,FALSE,
FTCDNL1,FALSE,TRUE,FALSE,FALSE,
FZD9,FALSE,TRUE,FALSE,FALSE,
GATA2,FALSE,TRUE,FALSE,FALSE,
GDF5,FALSE,TRUE,TRUE,FALSE,
GDF5OS,FALSE,TRUE,FALSE,FALSE,
GLT8D1,FALSE,TRUE,FALSE,FALSE,
GNL3,FALSE,TRUE,FALSE,FALSE,
GNLY,TRUE,FALSE,FALSE,FALSE,
GON4L,FALSE,TRUE,TRUE,FALSE,
GOSR2,FALSE,TRUE,TRUE,TRUE,"Supp Table 8 of Wu et al shows GOSR2 as part of the GOSR2/RP11-156P1.2 locus, but in other GWASes it is shown separately as GOSR2 and/or RP11-156P1.2. Therefore, in this comparison we list GOSR2 and RP11-156P1.2 separately and show both as 'TRUE' for Wu et al 2025. "
GPX4,FALSE,TRUE,FALSE,FALSE,
GS1-259H13.10,FALSE,TRUE,FALSE,FALSE,
GSDMA,FALSE,TRUE,TRUE,TRUE,
GSTM5P1,FALSE,FALSE,TRUE,FALSE,
HCN3,FALSE,TRUE,FALSE,FALSE,
HECTD4,FALSE,TRUE,FALSE,FALSE,
HK1,TRUE,TRUE,TRUE,TRUE,
HMGN2P25,FALSE,FALSE,TRUE,FALSE,
HOMER2,FALSE,TRUE,TRUE,FALSE,
HOXC4,FALSE,TRUE,FALSE,FALSE,
HOXC5,FALSE,TRUE,FALSE,FALSE,
HOXC6,FALSE,TRUE,FALSE,FALSE,
HOXC8,FALSE,TRUE,FALSE,FALSE,
HP1BP3,FALSE,TRUE,FALSE,FALSE,
HSPE1P1,FALSE,FALSE,TRUE,FALSE,
ITGA9,FALSE,FALSE,TRUE,FALSE,
ITIH1,FALSE,TRUE,FALSE,FALSE,
ITIH3,FALSE,TRUE,FALSE,FALSE,
ITIH4,FALSE,TRUE,FALSE,FALSE,
ITPR2,FALSE,TRUE,TRUE,FALSE,"Wu et al report this as ITPR2:RP11-666F17.1 in Supp Table 8, and also ITPR2 alone. Here, we use ITPR2 only to be consistent with Xu et al"
IZUMO3,TRUE,FALSE,FALSE,FALSE,
JAG1,TRUE,FALSE,FALSE,FALSE,Kaufmann et al report two SNPs relating to JAG1 
